,cod_semana,total_valor,total_volumen,total_unidades
37,38,214380.7300000001,145461.68,275983.8899999999
38,39,196662.52999999994,132595.15,248891.22000000006
39,40,246781.94000000003,178686.8399999999,370752.3276499995
40,41,241802.54000000015,184062.5699999995,380396.1253199994
41,42,213552.40999999954,158543.67999999956,312265.5199999997
42,43,187703.09999999977,131891.29999999984,250161.5599999995
43,44,192400.72999999986,135429.46000000022,255404.5700000001
44,45,222379.72999999998,150918.4000000001,284190.2299999999
45,46,200723.4999999999,134675.10999999984,253385.67999999985
46,47,216341.88000000006,153519.14000000022,289101.01670999953
47,48,279376.48999999976,193455.69000000018,343623.8731299998
48,49,224637.2300000001,155790.6799999999,289109.69232999976
49,50,161638.34000000008,115920.55000000013,220543.01111000005
50,51,200411.97000000006,143227.60000000006,282013.63623000035
51,52,184165.93999999986,125955.58000000002,223795.7100000002
52,53,187076.53,131483.97000000003,245369.5599999998
53,54,196689.48999999967,133112.88999999993,257646.44999999958
54,55,188770.02,124278.32000000012,237335.67999999996
55,56,170439.72000000018,110267.15000000005,206550.0500000001
56,57,201590.67000000027,139997.72999999995,266150.80288000003
57,58,220499.21,159807.9000000001,306859.82205
58,59,235980.8899999999,170266.0099999998,318376.5025899994
59,60,209100.69000000032,148561.11999999997,286746.25000000047
60,61,210134.3100000003,151020.87999999998,281090.0600000001
61,62,243574.90999999977,184298.84999999986,374238.6899999995
62,63,254778.39999999997,179967.40000000008,331377.33
63,64,232464.0899999997,156749.36999999997,278345.64000000013
64,65,236802.78000000035,163450.9399999999,310638.46547000017
65,66,278955.5600000002,197726.8499999997,380083.7788800005
66,67,238804.30000000002,157738.57999999996,319280.49075999996
67,68,244195.8499999999,157957.0099999999,352994.8630999993
68,69,285414.36999999994,175519.34000000017,371708.39856000006
69,70,353146.36000000034,237363.9499999999,531829.5137700003
70,71,380931.78999999986,258184.93000000002,553951.9290800003
71,72,377691.8299999991,259573.7,526575.7238999999
72,73,383846.8900000002,231010.88999999984,486057.99
73,74,366424.6899999996,229349.1799999998,502598.7177200004
74,75,348323.0630000003,237165.93000000034,497741.07567999995
75,76,341204.3639400006,226934.65999999992,512851.20829000045
76,77,332897.22000000003,205153.05999999997,446663.3099999992
77,78,330180.54000000015,195217.23999999985,429942.2399999995
78,79,349261.2899999999,221418.06999999986,461636.1313200007
79,80,370427.9200000002,234970.40000000008,466915.48650000006
80,81,334327.41000000003,213595.8600000001,470963.73999999947
81,82,310262.93000000017,199655.32000000024,447961.2699999995
82,83,333784.9099999998,213152.21000000005,468787.5099999994
83,84,337256.2800000001,214238.8300000001,478548.5200000006
84,85,319198.45000000054,206784.2000000004,402263.69999999995
85,86,283094.2999999998,184320.0699999998,395020.5100000002
86,87,276282.48000000045,185228.07999999967,398535.9218
87,88,312467.4600000004,216774.45000000004,464823.4283999994
88,89,294933.0700000002,197317.3400000001,412930.9389999996
89,90,268404.0399999999,162673.47000000015,350468.3400000002
90,91,258873.86999999982,156913.79000000027,342661.4199999997
91,92,271367.2599999995,173634.86000000022,396700.4787199997
