,cod_semana,total_valor,total_volumen,total_unidades
65,66,5236085.148929987,3520420.7288999814,5414115.432969941
66,67,4516463.494559988,2995820.5742199835,4602720.264149931
67,68,4982881.809559995,3308436.242660005,5030861.542309984
68,69,5103650.206519994,3393019.5251699965,5261672.247239995
69,70,5714147.019349994,4047698.444080021,6122667.591470011
70,71,5945665.126830003,4139609.4485799973,6277260.847279988
71,72,5944584.377770011,4148993.7068800223,6476061.076020005
72,73,6445895.551819956,4399763.067439971,6940671.81489002
73,74,6535076.742349985,4484287.543669991,7142210.190080043
74,75,6063199.489180002,4247564.150640007,6733547.780860027
75,76,5901868.656000003,4050524.031189994,6287174.263110031
76,77,6199280.288329946,4311434.702850022,6442555.416530007
77,78,6167931.622749976,4328828.555829996,6462147.434169939
78,79,6370003.241769969,4459817.728039996,6945782.286839986
79,80,6496833.7845800035,4443116.338779978,6951942.901740015
80,81,6321374.335669959,4292319.698849994,6406280.028539997
81,82,6136656.396059966,4332915.759560014,6576630.829610048
82,83,6066667.09331001,4199844.685409974,6496479.286590048
83,84,5963449.663679997,4211457.891120002,6430256.326010033
84,85,5482099.852779995,3746770.5167699712,5835054.378210008
85,86,5372539.050640002,3670351.781010009,5717254.261040001
86,87,5104270.598909985,3479280.1110399985,5298258.356559988
87,88,5345015.350739987,3676852.4794400237,5710379.660400014
88,89,5217831.991629985,3475235.7696400066,5303467.156860033
89,90,5071000.283779977,3426102.5545200175,5275087.901659997
90,91,4745750.386399991,3163372.539409997,4926560.6799500035
91,92,5011319.464389983,3417647.5545600075,5373872.142410061
92,93,5271998.253860013,3634690.1735200295,5730333.905790031
93,94,4570073.538520051,3023565.931530041,4856042.560380038
94,95,4395862.43964002,2960230.953600002,4720099.976669987
95,96,4512441.321920013,3043983.8755500275,4767733.465980031
96,97,4712219.4632200105,3178382.351239995,5005089.779389997
97,98,4445047.228390005,2892627.9684599857,4340253.556109974
98,99,4553868.44643001,3011422.6355300113,4623066.7168800095
99,100,7027544.906299988,4795481.470390037,6766452.900559978
100,101,5247415.732319956,3517078.1712800125,5132578.269149957
101,102,3245533.1049400065,2163367.3499499853,3271053.6598699996
102,103,4044457.831530008,2611980.907180005,4135149.5974399927
103,104,4091000.401549988,2652129.1731500123,4266784.189180011
104,105,4459043.404179974,3000717.1585000134,4810142.3959199395
105,106,4510369.039240009,3028644.2675000285,4666486.1693200255
106,107,4296317.395740011,2890968.078479994,4480849.504840024
107,108,4412323.278879996,2974607.1820300114,4438611.633180009
108,109,4853548.842249987,3339382.504430011,4894743.8521899665
109,110,4610807.87791999,3085388.920440015,4697307.938890007
110,111,4606385.032009989,3076836.9068000033,4887193.058890016
111,112,4998819.5424600085,3371697.034619999,5289019.081800028
112,113,4933530.350139999,3478423.935170022,5107015.609509972
113,114,5137387.219030003,3626143.478040005,5202365.399220003
114,115,4899490.706650022,3253846.485140046,5095288.984430039
115,116,4608275.869839997,3108982.2658300176,4976492.406190011
116,117,4974965.765680035,3333725.36930002,5400073.754270016
