,cod_semana,total_valor,total_volumen,total_unidades
89,90,2593936.908500001,2115467.961299996,2616247.5101900036
90,91,2438859.0882600034,1956569.3194099942,2434579.1298699994
91,92,2518168.731759994,2041497.3510599928,2607941.30706
92,93,2637771.4787700046,2131063.400259998,2726940.8979300014
93,94,2332634.7409399957,1826107.550629997,2429490.7495200066
94,95,2277306.300559993,1830124.2816999957,2417043.1215500087
95,96,2389887.051360001,1883969.011820004,2445696.903119997
96,97,2380964.621079999,1882384.8922999948,2422484.9471399984
97,98,2245273.191119999,1716810.8589999946,2080691.4928699997
98,99,2269855.1172299944,1756688.6855300018,2229634.2217999985
99,100,3348189.59985,2790445.4203899987,3036439.336350004
100,101,2560670.4445599993,2113308.5257,2448490.711569996
101,102,1721285.925340001,1370358.38995,1706842.3828500053
102,103,2085527.6015299996,1602226.367180004,2088817.8879600011
103,104,2121857.45155,1624700.1731500004,2156379.536160001
104,105,2404231.4186800024,1897525.079500003,2545575.179400001
105,106,2390591.641900007,1890708.3775000025,2399459.781010012
106,107,2258608.455740009,1797703.1884800019,2268729.4710100037
107,108,2276587.662439999,1813631.4070599955,2231229.589779999
108,109,2566599.195460008,2055682.9650799986,2432345.215539997
109,110,2378766.327920003,1886196.8004400004,2313250.597419997
110,111,2339805.8720099963,1861201.1967999944,2427017.153239995
111,112,2528934.839919995,2043175.1406299984,2615515.0537900035
112,113,2573184.845460003,2114550.859279999,2481069.760129999
113,114,2604223.505229998,2191808.115909995,2502682.8860500036
114,115,2481521.706770005,1940212.1183599997,2470669.09694
115,116,2317057.9907300025,1840572.6981000013,2400136.0658900025
116,117,2368552.6433399995,1847612.7236600034,2493722.5731200045
117,118,2654568.688410002,2073333.8649099944,2714970.057140004
118,119,2391082.605620003,1847552.44123,2377442.431679999
119,120,2540920.88791,2017953.0101100001,2385732.4915500004
120,121,2549878.636819997,1994073.0733599972,2498022.5136900097
121,122,2537488.064269995,2018818.1475100024,2602460.5591200027
122,123,2624469.9917299994,2147922.8299200004,2577548.833630003
123,124,2701928.374990004,2220075.840859999,2714534.6387000047
124,125,2859400.4849600033,2407240.9230000023,3247736.6423499994
125,126,3065547.3597399998,2458301.8452100004,3255420.8140500025
126,127,2913290.7719199928,2368577.4459699993,3078639.123570005
127,128,2853073.3916700045,2283338.367220002,2877321.5962900002
128,129,2878827.5652900105,2378545.975410007,3084839.843580005
129,130,2773276.193660002,2258303.2343199993,2963691.977830005
130,131,2920229.461080007,2509384.589460006,3346042.675269996
131,132,3074626.439049994,2584518.5624199933,3205072.624499998
132,133,2892729.8210600056,2389804.088690012,3133753.977119997
133,134,2875522.1603299985,2474219.8529499997,3055034.078759998
134,135,2844614.8579000058,2359961.860670001,3011099.0052399975
135,136,2834477.2624500077,2324517.7248300016,3053124.4423199994
136,137,2615782.537750006,1999046.4307900004,2735308.674270005
137,138,2734145.5093699964,2117927.424189999,2838607.776599996
138,139,2665946.5363799985,2140189.569359998,2775719.7298999964
139,140,2665652.634880001,2115328.61007,2765640.488210001
